Input Term,Context,Matches
Hypertension,"ASSESSMENT AND PLAN:
58-year-old male with hypertension and heart failure.
1. Hypertension: I10
Content and Plan: Blood pressure elevated at 145/88 today. Continue current antihypertensive regimen. Monitor blood pressure closely given heart failure exacerbation. Target blood pressure less than 130/80.

2. Acute on Chronic Systolic Heart Failure: I50.23
Content and Plan: Patient with known chronic systolic heart failure now presenting with acute decompensation. Bilateral lower extremity edema and crackles on lung exam. Weight increased 8 pounds over past week. Increase furosemide to 40 mg twice daily. Strict fluid restriction to 1.5 liters daily. Daily weights. Follow up in 3 days.","1. Hypertension
   ICD-10: I10
   Score: 1.00"
Hypertension,"HISTORY OF PRESENT ILLNESS:
Patient is a 58-year-old male with history of hypertension and chronic systolic heart failure presenting with worsening shortness of breath and leg swelling over the past week. His blood pressure has been running slightly elevated at home. He reports increased dyspnea on exertion and orthopnea, now requiring 3 pillows to sleep at night. He notes bilateral lower extremity swelling that is worse than his baseline. Weight has increased from 190 to 198 pounds over the past week despite no change in diet.","1. Hypertension
   ICD-10: I10
   Score: 1.00"
Hypertension,"PROBLEM LIST:
- Hypertension
- Heart Failure","1. Hypertension
   ICD-10: I10
   Score: 1.00"
Hypertension,"PHYSICAL EXAM:
Blood pressure 145/88, heart rate 98, respiratory rate 22, oxygen saturation 91 percent on room air. Jugular venous distension noted. Cardiac exam shows S3 gallop. Bilateral crackles in lower lung fields. Abdomen soft, liver edge palpable. Bilateral 2+ pitting edema to knees.","1. Hypertension
   ICD-10: I10
   Score: 1.00"
heart failure,"ASSESSMENT:
58-year-old male with hypertension and heart failure.","1. Heart failure
   ICD-10: I50.9
   Score: 1.00"
heart failure,"ASSESSMENT AND PLAN:
58-year-old male with hypertension and heart failure.
1. Hypertension: I10
Content and Plan: Blood pressure elevated at 145/88 today. Continue current antihypertensive regimen. Monitor blood pressure closely given heart failure exacerbation. Target blood pressure less than 130/80.

2. Acute on Chronic Systolic Heart Failure: I50.23
Content and Plan: Patient with known chronic systolic heart failure now presenting with acute decompensation. Bilateral lower extremity edema and crackles on lung exam. Weight increased 8 pounds over past week. Increase furosemide to 40 mg twice daily. Strict fluid restriction to 1.5 liters daily. Daily weights. Follow up in 3 days.","1. Acute on chronic systolic heart failure
   ICD-10: I50.23
   Score: 1.00

2. Chronic systolic heart failure
   ICD-10: I50.22
   Score: 0.98

3. Heart failure
   ICD-10: I50.9
   Score: 0.98"
heart failure,"HISTORY OF PRESENT ILLNESS:
Patient is a 58-year-old male with history of hypertension and chronic systolic heart failure presenting with worsening shortness of breath and leg swelling over the past week. His blood pressure has been running slightly elevated at home. He reports increased dyspnea on exertion and orthopnea, now requiring 3 pillows to sleep at night. He notes bilateral lower extremity swelling that is worse than his baseline. Weight has increased from 190 to 198 pounds over the past week despite no change in diet.","1. Chronic systolic heart failure
   ICD-10: I50.22
   Score: 1.00

2. Heart failure
   ICD-10: I50.9
   Score: 1.00"
heart failure,"PROBLEM LIST:
- Hypertension
- Heart Failure","1. Heart failure
   ICD-10: I50.9
   Score: 1.00"
heart failure,"PHYSICAL EXAM:
Blood pressure 145/88, heart rate 98, respiratory rate 22, oxygen saturation 91 percent on room air. Jugular venous distension noted. Cardiac exam shows S3 gallop. Bilateral crackles in lower lung fields. Abdomen soft, liver edge palpable. Bilateral 2+ pitting edema to knees.","1. Heart failure
   ICD-10: I50.9
   Score: 1.00"
Systolic Heart Failure,"ASSESSMENT:
58-year-old male with hypertension and heart failure.","1. Systolic heart failure
   ICD-10: I50.20
   Score: 1.00

2. Heart failure with reduced ejection fraction (HFrEF)
   ICD-10: I50.20
   Score: 0.97"
Systolic Heart Failure,"ASSESSMENT AND PLAN:
58-year-old male with hypertension and heart failure.
1. Hypertension: I10
Content and Plan: Blood pressure elevated at 145/88 today. Continue current antihypertensive regimen. Monitor blood pressure closely given heart failure exacerbation. Target blood pressure less than 130/80.

2. Acute on Chronic Systolic Heart Failure: I50.23
Content and Plan: Patient with known chronic systolic heart failure now presenting with acute decompensation. Bilateral lower extremity edema and crackles on lung exam. Weight increased 8 pounds over past week. Increase furosemide to 40 mg twice daily. Strict fluid restriction to 1.5 liters daily. Daily weights. Follow up in 3 days.","1. Acute on chronic systolic heart failure
   ICD-10: I50.23
   Score: 1.00

2. Chronic systolic heart failure
   ICD-10: I50.22
   Score: 1.00

3. Systolic heart failure
   ICD-10: I50.20
   Score: 1.00"
Systolic Heart Failure,"HISTORY OF PRESENT ILLNESS:
Patient is a 58-year-old male with history of hypertension and chronic systolic heart failure presenting with worsening shortness of breath and leg swelling over the past week. His blood pressure has been running slightly elevated at home. He reports increased dyspnea on exertion and orthopnea, now requiring 3 pillows to sleep at night. He notes bilateral lower extremity swelling that is worse than his baseline. Weight has increased from 190 to 198 pounds over the past week despite no change in diet.","1. Systolic heart failure
   ICD-10: I50.20
   Score: 1.00

2. Chronic systolic heart failure
   ICD-10: I50.22
   Score: 0.98

3. Heart failure with reduced ejection fraction (HFrEF)
   ICD-10: I50.20
   Score: 0.97"
Systolic Heart Failure,"PROBLEM LIST:
- Hypertension
- Heart Failure","1. Systolic heart failure
   ICD-10: I50.20
   Score: 1.00"
Systolic Heart Failure,"PHYSICAL EXAM:
Blood pressure 145/88, heart rate 98, respiratory rate 22, oxygen saturation 91 percent on room air. Jugular venous distension noted. Cardiac exam shows S3 gallop. Bilateral crackles in lower lung fields. Abdomen soft, liver edge palpable. Bilateral 2+ pitting edema to knees.","1. Systolic heart failure
   ICD-10: I50.20
   Score: 1.00"
systolic heart failure,"ASSESSMENT:
58-year-old male with hypertension and heart failure.","1. Systolic heart failure
   ICD-10: I50.20
   Score: 1.00

2. Heart failure with reduced ejection fraction (HFrEF)
   ICD-10: I50.20
   Score: 0.97"
systolic heart failure,"ASSESSMENT AND PLAN:
58-year-old male with hypertension and heart failure.
1. Hypertension: I10
Content and Plan: Blood pressure elevated at 145/88 today. Continue current antihypertensive regimen. Monitor blood pressure closely given heart failure exacerbation. Target blood pressure less than 130/80.

2. Acute on Chronic Systolic Heart Failure: I50.23
Content and Plan: Patient with known chronic systolic heart failure now presenting with acute decompensation. Bilateral lower extremity edema and crackles on lung exam. Weight increased 8 pounds over past week. Increase furosemide to 40 mg twice daily. Strict fluid restriction to 1.5 liters daily. Daily weights. Follow up in 3 days.","1. Acute on chronic systolic heart failure
   ICD-10: I50.23
   Score: 1.00

2. Chronic systolic heart failure
   ICD-10: I50.22
   Score: 1.00

3. Systolic heart failure
   ICD-10: I50.20
   Score: 1.00"
systolic heart failure,"HISTORY OF PRESENT ILLNESS:
Patient is a 58-year-old male with history of hypertension and chronic systolic heart failure presenting with worsening shortness of breath and leg swelling over the past week. His blood pressure has been running slightly elevated at home. He reports increased dyspnea on exertion and orthopnea, now requiring 3 pillows to sleep at night. He notes bilateral lower extremity swelling that is worse than his baseline. Weight has increased from 190 to 198 pounds over the past week despite no change in diet.","1. Systolic heart failure
   ICD-10: I50.20
   Score: 1.00

2. Chronic systolic heart failure
   ICD-10: I50.22
   Score: 0.98

3. Heart failure with reduced ejection fraction (HFrEF)
   ICD-10: I50.20
   Score: 0.97"
systolic heart failure,"PROBLEM LIST:
- Hypertension
- Heart Failure","1. Systolic heart failure
   ICD-10: I50.20
   Score: 1.00"
systolic heart failure,"PHYSICAL EXAM:
Blood pressure 145/88, heart rate 98, respiratory rate 22, oxygen saturation 91 percent on room air. Jugular venous distension noted. Cardiac exam shows S3 gallop. Bilateral crackles in lower lung fields. Abdomen soft, liver edge palpable. Bilateral 2+ pitting edema to knees.","1. Systolic heart failure
   ICD-10: I50.20
   Score: 1.00"
decompensation,"ASSESSMENT:
58-year-old male with hypertension and heart failure.","1. Clinical decompensation
   ICD-10: R68.89
   Score: 1.00"
decompensation,"ASSESSMENT AND PLAN:
58-year-old male with hypertension and heart failure.
1. Hypertension: I10
Content and Plan: Blood pressure elevated at 145/88 today. Continue current antihypertensive regimen. Monitor blood pressure closely given heart failure exacerbation. Target blood pressure less than 130/80.

2. Acute on Chronic Systolic Heart Failure: I50.23
Content and Plan: Patient with known chronic systolic heart failure now presenting with acute decompensation. Bilateral lower extremity edema and crackles on lung exam. Weight increased 8 pounds over past week. Increase furosemide to 40 mg twice daily. Strict fluid restriction to 1.5 liters daily. Daily weights. Follow up in 3 days.","1. Acute on chronic systolic heart failure
   ICD-10: I50.23
   Score: 1.00

2. Clinical decompensation
   ICD-10: R68.89
   Score: 1.00

3. Decompensated heart failure
   ICD-10: I50.9
   Score: 0.97"
decompensation,"HISTORY OF PRESENT ILLNESS:
Patient is a 58-year-old male with history of hypertension and chronic systolic heart failure presenting with worsening shortness of breath and leg swelling over the past week. His blood pressure has been running slightly elevated at home. He reports increased dyspnea on exertion and orthopnea, now requiring 3 pillows to sleep at night. He notes bilateral lower extremity swelling that is worse than his baseline. Weight has increased from 190 to 198 pounds over the past week despite no change in diet.","1. Acute on chronic systolic heart failure
   ICD-10: I50.23
   Score: 1.00

2. Clinical decompensation
   ICD-10: R68.89
   Score: 1.00

3. Decompensated heart failure
   ICD-10: I50.9
   Score: 0.97"
decompensation,"PROBLEM LIST:
- Hypertension
- Heart Failure","1. Clinical decompensation
   ICD-10: R68.89
   Score: 1.00"
decompensation,"PHYSICAL EXAM:
Blood pressure 145/88, heart rate 98, respiratory rate 22, oxygen saturation 91 percent on room air. Jugular venous distension noted. Cardiac exam shows S3 gallop. Bilateral crackles in lower lung fields. Abdomen soft, liver edge palpable. Bilateral 2+ pitting edema to knees.","1. Clinical decompensation
   ICD-10: R68.89
   Score: 1.00"
Bilateral lower extremity edema,"ASSESSMENT:
58-year-old male with hypertension and heart failure.","1. Edema of both lower extremities
   ICD-10: R60.0
   Score: 1.00"
Bilateral lower extremity edema,"ASSESSMENT AND PLAN:
58-year-old male with hypertension and heart failure.
1. Hypertension: I10
Content and Plan: Blood pressure elevated at 145/88 today. Continue current antihypertensive regimen. Monitor blood pressure closely given heart failure exacerbation. Target blood pressure less than 130/80.

2. Acute on Chronic Systolic Heart Failure: I50.23
Content and Plan: Patient with known chronic systolic heart failure now presenting with acute decompensation. Bilateral lower extremity edema and crackles on lung exam. Weight increased 8 pounds over past week. Increase furosemide to 40 mg twice daily. Strict fluid restriction to 1.5 liters daily. Daily weights. Follow up in 3 days.","1. Edema of both lower extremities
   ICD-10: R60.0
   Score: 1.00"
Bilateral lower extremity edema,"HISTORY OF PRESENT ILLNESS:
Patient is a 58-year-old male with history of hypertension and chronic systolic heart failure presenting with worsening shortness of breath and leg swelling over the past week. His blood pressure has been running slightly elevated at home. He reports increased dyspnea on exertion and orthopnea, now requiring 3 pillows to sleep at night. He notes bilateral lower extremity swelling that is worse than his baseline. Weight has increased from 190 to 198 pounds over the past week despite no change in diet.","1. Edema of both lower extremities
   ICD-10: R60.0
   Score: 1.00"
Bilateral lower extremity edema,"PROBLEM LIST:
- Hypertension
- Heart Failure","1. Edema of both lower extremities
   ICD-10: R60.0
   Score: 1.00

2. Edema of lower extremity
   ICD-10: R60.0
   Score: 0.98"
Bilateral lower extremity edema,"PHYSICAL EXAM:
Blood pressure 145/88, heart rate 98, respiratory rate 22, oxygen saturation 91 percent on room air. Jugular venous distension noted. Cardiac exam shows S3 gallop. Bilateral crackles in lower lung fields. Abdomen soft, liver edge palpable. Bilateral 2+ pitting edema to knees.","1. Edema of both lower extremities
   ICD-10: R60.0
   Score: 1.00"
crackles,"ASSESSMENT:
58-year-old male with hypertension and heart failure.","1. Respiratory crackles
   ICD-10: R09.89
   Score: 1.00"
crackles,"ASSESSMENT AND PLAN:
58-year-old male with hypertension and heart failure.
1. Hypertension: I10
Content and Plan: Blood pressure elevated at 145/88 today. Continue current antihypertensive regimen. Monitor blood pressure closely given heart failure exacerbation. Target blood pressure less than 130/80.

2. Acute on Chronic Systolic Heart Failure: I50.23
Content and Plan: Patient with known chronic systolic heart failure now presenting with acute decompensation. Bilateral lower extremity edema and crackles on lung exam. Weight increased 8 pounds over past week. Increase furosemide to 40 mg twice daily. Strict fluid restriction to 1.5 liters daily. Daily weights. Follow up in 3 days.","1. Respiratory crackles
   ICD-10: R09.89
   Score: 1.00"
crackles,"HISTORY OF PRESENT ILLNESS:
Patient is a 58-year-old male with history of hypertension and chronic systolic heart failure presenting with worsening shortness of breath and leg swelling over the past week. His blood pressure has been running slightly elevated at home. He reports increased dyspnea on exertion and orthopnea, now requiring 3 pillows to sleep at night. He notes bilateral lower extremity swelling that is worse than his baseline. Weight has increased from 190 to 198 pounds over the past week despite no change in diet.","1. Respiratory crackles
   ICD-10: R09.89
   Score: 1.00"
crackles,"PROBLEM LIST:
- Hypertension
- Heart Failure","1. Respiratory crackles
   ICD-10: R09.89
   Score: 1.00"
crackles,"PHYSICAL EXAM:
Blood pressure 145/88, heart rate 98, respiratory rate 22, oxygen saturation 91 percent on room air. Jugular venous distension noted. Cardiac exam shows S3 gallop. Bilateral crackles in lower lung fields. Abdomen soft, liver edge palpable. Bilateral 2+ pitting edema to knees.","1. Respiratory crackles
   ICD-10: R09.89
   Score: 1.00"
history of hypertension,"HISTORY OF PRESENT ILLNESS:
Patient is a 58-year-old male with history of hypertension and chronic systolic heart failure presenting with worsening shortness of breath and leg swelling over the past week. His blood pressure has been running slightly elevated at home. He reports increased dyspnea on exertion and orthopnea, now requiring 3 pillows to sleep at night. He notes bilateral lower extremity swelling that is worse than his baseline. Weight has increased from 190 to 198 pounds over the past week despite no change in diet.","1. History of hypertension
   ICD-10: Z86.79
   Score: 1.00

2. Hypertension
   ICD-10: I10
   Score: 0.98"
history of hypertension,"ASSESSMENT:
58-year-old male with hypertension and heart failure.","1. History of hypertension
   ICD-10: Z86.79
   Score: 1.00

2. Hypertension
   ICD-10: I10
   Score: 0.98"
history of hypertension,"ASSESSMENT AND PLAN:
58-year-old male with hypertension and heart failure.
1. Hypertension: I10
Content and Plan: Blood pressure elevated at 145/88 today. Continue current antihypertensive regimen. Monitor blood pressure closely given heart failure exacerbation. Target blood pressure less than 130/80.

2. Acute on Chronic Systolic Heart Failure: I50.23
Content and Plan: Patient with known chronic systolic heart failure now presenting with acute decompensation. Bilateral lower extremity edema and crackles on lung exam. Weight increased 8 pounds over past week. Increase furosemide to 40 mg twice daily. Strict fluid restriction to 1.5 liters daily. Daily weights. Follow up in 3 days.","1. History of hypertension
   ICD-10: Z86.79
   Score: 1.00

2. Hypertension
   ICD-10: I10
   Score: 0.98"
history of hypertension,"PROBLEM LIST:
- Hypertension
- Heart Failure","1. History of hypertension
   ICD-10: Z86.79
   Score: 1.00

2. Hypertension
   ICD-10: I10
   Score: 0.98"
history of hypertension,"PHYSICAL EXAM:
Blood pressure 145/88, heart rate 98, respiratory rate 22, oxygen saturation 91 percent on room air. Jugular venous distension noted. Cardiac exam shows S3 gallop. Bilateral crackles in lower lung fields. Abdomen soft, liver edge palpable. Bilateral 2+ pitting edema to knees.","1. History of hypertension
   ICD-10: Z86.79
   Score: 1.00"
systolic heart failure,"HISTORY OF PRESENT ILLNESS:
Patient is a 58-year-old male with history of hypertension and chronic systolic heart failure presenting with worsening shortness of breath and leg swelling over the past week. His blood pressure has been running slightly elevated at home. He reports increased dyspnea on exertion and orthopnea, now requiring 3 pillows to sleep at night. He notes bilateral lower extremity swelling that is worse than his baseline. Weight has increased from 190 to 198 pounds over the past week despite no change in diet.","1. Systolic heart failure
   ICD-10: I50.20
   Score: 1.00

2. Chronic systolic heart failure
   ICD-10: I50.22
   Score: 0.98

3. Heart failure with reduced ejection fraction (HFrEF)
   ICD-10: I50.20
   Score: 0.97"
systolic heart failure,"ASSESSMENT:
58-year-old male with hypertension and heart failure.","1. Systolic heart failure
   ICD-10: I50.20
   Score: 1.00

2. Heart failure with reduced ejection fraction (HFrEF)
   ICD-10: I50.20
   Score: 0.97"
systolic heart failure,"ASSESSMENT AND PLAN:
58-year-old male with hypertension and heart failure.
1. Hypertension: I10
Content and Plan: Blood pressure elevated at 145/88 today. Continue current antihypertensive regimen. Monitor blood pressure closely given heart failure exacerbation. Target blood pressure less than 130/80.

2. Acute on Chronic Systolic Heart Failure: I50.23
Content and Plan: Patient with known chronic systolic heart failure now presenting with acute decompensation. Bilateral lower extremity edema and crackles on lung exam. Weight increased 8 pounds over past week. Increase furosemide to 40 mg twice daily. Strict fluid restriction to 1.5 liters daily. Daily weights. Follow up in 3 days.","1. Acute on chronic systolic heart failure
   ICD-10: I50.23
   Score: 1.00

2. Chronic systolic heart failure
   ICD-10: I50.22
   Score: 1.00

3. Systolic heart failure
   ICD-10: I50.20
   Score: 1.00"
systolic heart failure,"PROBLEM LIST:
- Hypertension
- Heart Failure","1. Systolic heart failure
   ICD-10: I50.20
   Score: 1.00"
systolic heart failure,"PHYSICAL EXAM:
Blood pressure 145/88, heart rate 98, respiratory rate 22, oxygen saturation 91 percent on room air. Jugular venous distension noted. Cardiac exam shows S3 gallop. Bilateral crackles in lower lung fields. Abdomen soft, liver edge palpable. Bilateral 2+ pitting edema to knees.","1. Systolic heart failure
   ICD-10: I50.20
   Score: 1.00"
shortness of breath,"HISTORY OF PRESENT ILLNESS:
Patient is a 58-year-old male with history of hypertension and chronic systolic heart failure presenting with worsening shortness of breath and leg swelling over the past week. His blood pressure has been running slightly elevated at home. He reports increased dyspnea on exertion and orthopnea, now requiring 3 pillows to sleep at night. He notes bilateral lower extremity swelling that is worse than his baseline. Weight has increased from 190 to 198 pounds over the past week despite no change in diet.","1. Shortness of breath
   ICD-10: R06.02
   Score: 1.00

2. Dyspnea on exertion
   ICD-10: R06.09
   Score: 1.00

3. Breathlessness
   ICD-10: R06.81
   Score: 0.98"
shortness of breath,"ASSESSMENT:
58-year-old male with hypertension and heart failure.","1. Shortness of breath
   ICD-10: R06.02
   Score: 1.00"
shortness of breath,"ASSESSMENT AND PLAN:
58-year-old male with hypertension and heart failure.
1. Hypertension: I10
Content and Plan: Blood pressure elevated at 145/88 today. Continue current antihypertensive regimen. Monitor blood pressure closely given heart failure exacerbation. Target blood pressure less than 130/80.

2. Acute on Chronic Systolic Heart Failure: I50.23
Content and Plan: Patient with known chronic systolic heart failure now presenting with acute decompensation. Bilateral lower extremity edema and crackles on lung exam. Weight increased 8 pounds over past week. Increase furosemide to 40 mg twice daily. Strict fluid restriction to 1.5 liters daily. Daily weights. Follow up in 3 days.","1. Shortness of breath
   ICD-10: R06.02
   Score: 1.00"
shortness of breath,"PROBLEM LIST:
- Hypertension
- Heart Failure","1. Shortness of breath
   ICD-10: R06.02
   Score: 1.00"
shortness of breath,"PHYSICAL EXAM:
Blood pressure 145/88, heart rate 98, respiratory rate 22, oxygen saturation 91 percent on room air. Jugular venous distension noted. Cardiac exam shows S3 gallop. Bilateral crackles in lower lung fields. Abdomen soft, liver edge palpable. Bilateral 2+ pitting edema to knees.","1. Shortness of breath
   ICD-10: R06.02
   Score: 1.00

2. Dyspnea
   ICD-10: R06.00
   Score: 0.98"
leg swelling,"HISTORY OF PRESENT ILLNESS:
Patient is a 58-year-old male with history of hypertension and chronic systolic heart failure presenting with worsening shortness of breath and leg swelling over the past week. His blood pressure has been running slightly elevated at home. He reports increased dyspnea on exertion and orthopnea, now requiring 3 pillows to sleep at night. He notes bilateral lower extremity swelling that is worse than his baseline. Weight has increased from 190 to 198 pounds over the past week despite no change in diet.","1. Edema of lower extremity
   ICD-10: R60.0
   Score: 1.00

2. Swelling of lower extremity
   ICD-10: M79.89
   Score: 1.00"
leg swelling,"ASSESSMENT:
58-year-old male with hypertension and heart failure.","1. Swelling of lower extremity
   ICD-10: M79.89
   Score: 1.00"
leg swelling,"ASSESSMENT AND PLAN:
58-year-old male with hypertension and heart failure.
1. Hypertension: I10
Content and Plan: Blood pressure elevated at 145/88 today. Continue current antihypertensive regimen. Monitor blood pressure closely given heart failure exacerbation. Target blood pressure less than 130/80.

2. Acute on Chronic Systolic Heart Failure: I50.23
Content and Plan: Patient with known chronic systolic heart failure now presenting with acute decompensation. Bilateral lower extremity edema and crackles on lung exam. Weight increased 8 pounds over past week. Increase furosemide to 40 mg twice daily. Strict fluid restriction to 1.5 liters daily. Daily weights. Follow up in 3 days.","1. Edema of both lower extremities
   ICD-10: R60.0
   Score: 1.00

2. Edema of lower extremity
   ICD-10: R60.0
   Score: 1.00

3. Swelling of lower extremity
   ICD-10: M79.89
   Score: 1.00"
leg swelling,"PROBLEM LIST:
- Hypertension
- Heart Failure","1. Swelling of lower extremity
   ICD-10: M79.89
   Score: 1.00"
